sample(0),sample(1),sample(2),sample(3),sample(4),sample(5),sample(6),AmplitudeSample(4)
88.1685,114.8691,191.0158,163.838,85.718,46.4504,32.4618,42.55
114.8691,191.0158,163.838,85.718,46.4504,32.4618,29.9664,9.6683
191.0158,163.838,85.718,46.4504,32.4618,29.9664,30.232,0.0
163.838,85.718,46.4504,32.4618,29.9664,30.232,60.4297,0.0
85.718,46.4504,32.4618,29.9664,30.232,60.4297,208.7311,0.0
46.4504,32.4618,29.9664,30.232,60.4297,208.7311,404.1841,0.0
32.4618,29.9664,30.232,60.4297,208.7311,404.1841,346.7659,0.0
29.9664,30.232,60.4297,208.7311,404.1841,346.7659,156.1428,95.8349
30.232,60.4297,208.7311,404.1841,346.7659,156.1428,75.6291,205.549
60.4297,208.7311,404.1841,346.7659,156.1428,75.6291,48.5067,169.6839
208.7311,404.1841,346.7659,156.1428,75.6291,48.5067,44.3111,0.0
404.1841,346.7659,156.1428,75.6291,48.5067,44.3111,121.8391,15.7047
346.7659,156.1428,75.6291,48.5067,44.3111,121.8391,247.7823,0.0
156.1428,75.6291,48.5067,44.3111,121.8391,247.7823,234.6946,9.7099
75.6291,48.5067,44.3111,121.8391,247.7823,234.6946,392.3526,0.0
48.5067,44.3111,121.8391,247.7823,234.6946,392.3526,464.7943,216.083
44.3111,121.8391,247.7823,234.6946,392.3526,464.7943,240.2674,0.0
121.8391,247.7823,234.6946,392.3526,464.7943,240.2674,118.1394,213.5182
247.7823,234.6946,392.3526,464.7943,240.2674,118.1394,135.1103,278.1003
234.6946,392.3526,464.7943,240.2674,118.1394,135.1103,93.128,0.0
392.3526,464.7943,240.2674,118.1394,135.1103,93.128,86.5041,0.0
464.7943,240.2674,118.1394,135.1103,93.128,86.5041,108.2778,92.6904
240.2674,118.1394,135.1103,93.128,86.5041,108.2778,71.2071,0.0
118.1394,135.1103,93.128,86.5041,108.2778,71.2071,41.5625,0.0
135.1103,93.128,86.5041,108.2778,71.2071,41.5625,30.0119,74.7958
93.128,86.5041,108.2778,71.2071,41.5625,30.0119,31.4299,0.0
86.5041,108.2778,71.2071,41.5625,30.0119,31.4299,63.292,0.0
108.2778,71.2071,41.5625,30.0119,31.4299,63.292,173.5609,0.0608
71.2071,41.5625,30.0119,31.4299,63.292,173.5609,313.6376,0.0
41.5625,30.0119,31.4299,63.292,173.5609,313.6376,278.8866,0.0
30.0119,31.4299,63.292,173.5609,313.6376,278.8866,214.4333,83.0807
31.4299,63.292,173.5609,313.6376,278.8866,214.4333,216.2941,189.0035
63.292,173.5609,313.6376,278.8866,214.4333,216.2941,112.548,96.0925
173.5609,313.6376,278.8866,214.4333,216.2941,112.548,53.3399,4.629
