time,sample,amplitude,phases,noise
0.0000,69.2130,41.7094,4.0000,-1.7634
25.0000,49.5061,0.0000,0.0000,-0.2553
50.0000,34.6836,0.1488,5.0000,-0.5105
75.0000,31.8923,0.0000,0.0000,0.4433
100.0000,28.1519,0.0000,0.0000,-1.9998
125.0000,29.0768,0.0000,0.0000,-0.9280
150.0000,28.7823,0.0000,0.0000,-1.2181
175.0000,29.9769,0.0000,0.0000,-0.0231
200.0000,28.3781,0.0000,0.0000,-1.6219
225.0000,30.9348,0.0000,0.0000,0.9348
250.0000,31.6145,0.0000,0.0000,1.4189
275.0000,39.4880,0.0000,0.0000,-0.8016
300.0000,60.1651,33.5226,-5.0000,-2.4481
325.0000,52.1420,0.0000,0.0000,-0.9548
350.0000,37.3351,0.0000,0.0000,0.6153
375.0000,31.9967,0.0000,0.0000,0.1252
400.0000,30.9227,0.0000,0.0000,0.6415
425.0000,31.1395,0.0000,0.0000,1.1382
450.0000,32.7492,0.0000,0.0000,1.7095
475.0000,56.4496,0.0000,0.0000,-3.4187
500.0000,148.3473,58.2310,0.0000,-0.2123
525.0000,171.3720,110.0769,3.0000,-0.6638
550.0000,94.5197,0.0000,0.0000,1.2813
575.0000,47.1623,0.0000,0.0000,0.3436
600.0000,33.4361,0.0000,0.0000,-0.7739
625.0000,30.1501,0.0000,0.0000,-0.2359
650.0000,29.7274,0.0000,0.0000,-0.2726
675.0000,30.9288,0.0000,0.0000,0.9285
700.0000,30.3796,0.0000,0.0000,0.0952
725.0000,39.5278,0.0000,0.0000,2.1075
750.0000,48.2547,16.3949,0.0000,1.8543
775.0000,39.7433,0.0000,0.0000,0.4652
800.0000,30.5943,0.0000,0.0000,-1.9061
825.0000,29.8306,0.0000,0.0000,-1.4230
850.0000,52.0817,0.0000,0.0000,-0.6574
875.0000,102.4560,60.8178,-3.0000,-0.7982
900.0000,120.5815,23.0928,2.0000,-0.0344
925.0000,117.5831,63.4116,0.0000,1.2833
950.0000,74.1027,0.0000,0.0000,1.9274
975.0000,44.8184,0.0000,0.0000,-1.6646
1000.0000,116.0703,0.0000,0.0000,0.0582
1025.0000,170.6461,143.4471,4.0000,-0.8112
1050.0000,102.8597,0.0000,0.0000,0.6443
1075.0000,138.9891,0.0000,0.0000,-1.4677
1100.0000,213.3741,179.7805,2.0000,-0.5148
1125.0000,124.9513,0.0000,0.0000,1.4149
1150.0000,64.5756,0.0000,0.0000,0.4098
1175.0000,251.7457,0.0000,0.0000,-0.8105
1200.0000,510.0443,444.4078,1.0000,-0.4062
1225.0000,430.8993,102.2244,-5.0000,0.8166
1250.0000,392.6285,93.0491,5.0000,-1.0095
1275.0000,517.4751,413.1663,-4.0000,-2.9569
1300.0000,332.8422,10.1055,-1.0000,-0.3359
1325.0000,119.2544,0.0000,0.0000,1.1579
1350.0000,53.0173,0.0000,0.0000,-0.8235
1375.0000,32.2626,0.0000,0.0000,-1.3027
1400.0000,30.1781,0.0000,0.0000,0.1238
1425.0000,28.7153,0.0000,0.0000,-1.2847
1450.0000,27.9218,0.0000,0.0000,-2.0859
1475.0000,29.0349,0.0000,0.0000,-1.8714
1500.0000,48.9230,0.0000,0.0000,3.3655
1525.0000,56.6395,28.3959,3.0000,-1.4998
1550.0000,45.0832,0.0000,0.0000,1.0609
1575.0000,34.8227,0.0000,0.0000,1.1269
1600.0000,33.0673,0.0000,0.0000,2.0535
1625.0000,32.3742,0.0000,0.0000,2.2746
1650.0000,30.5335,0.0000,0.0000,0.5335
1675.0000,29.5268,0.0000,0.0000,-0.4732
1700.0000,29.5979,0.0000,0.0000,-0.4021
1725.0000,29.5669,0.0000,0.0000,-0.4331
1750.0000,30.2683,0.0000,0.0000,0.2683
1775.0000,29.1252,0.0000,0.0000,-0.8748
1800.0000,29.7072,0.0000,0.0000,-0.2928
1825.0000,31.8073,0.0000,0.0000,1.8073
1850.0000,28.0647,0.0000,0.0000,-2.1642
1875.0000,39.7620,0.0000,0.0000,-2.4188
1900.0000,82.5368,39.2403,-5.0000,2.2079
1925.0000,220.1717,0.0000,0.0000,0.1827
1950.0000,350.0128,263.6146,5.0000,0.2414
1975.0000,297.8765,140.0929,-2.0000,-0.7584
2000.0000,302.7595,0.0000,0.0000,1.2881
2025.0000,373.4793,277.1832,3.0000,-0.6089
2050.0000,250.4883,67.4199,3.0000,-0.4237
2075.0000,138.7644,19.1463,1.0000,-2.8134
2100.0000,132.1889,65.8835,-4.0000,-2.6019
2125.0000,115.9128,35.8289,-5.0000,1.1307
2150.0000,67.1938,0.0000,0.0000,-0.9963
2175.0000,39.3262,0.0000,0.0000,-1.4367
2200.0000,33.9366,0.0000,0.0000,1.3161
2225.0000,34.6737,0.0000,0.0000,1.1205
2250.0000,34.6672,7.1869,0.0000,-2.5222
2275.0000,33.9392,0.0000,0.0000,-0.1280
2300.0000,30.9566,0.0000,0.0000,-0.1395
2325.0000,32.3087,0.0000,0.0000,2.0011
2350.0000,32.5513,0.0000,0.0000,-0.6408
2375.0000,139.4945,0.0000,0.0000,-0.6535
2400.0000,308.6325,281.1199,-2.0000,-1.3685
2425.0000,203.3109,0.0000,0.0000,0.3884
2450.0000,84.8222,0.0000,0.0000,4.3464
2475.0000,167.6385,0.0000,0.0000,-0.6977
2500.0000,397.5197,373.5961,-4.0000,-1.3533
2525.0000,277.1391,0.0000,0.0000,-1.1040
2550.0000,98.7298,0.0000,0.0000,-2.1452
2575.0000,50.0817,0.0000,0.0000,-0.7516
2600.0000,35.6991,2.9779,-4.0000,-0.0378
2625.0000,33.0655,0.0000,0.0000,1.0868
2650.0000,30.9750,0.0000,0.0000,0.4102
2675.0000,30.6556,0.0000,0.0000,0.4975
2700.0000,30.6721,0.0000,0.0000,0.6497
2725.0000,28.5029,0.0000,0.0000,-1.4971
2750.0000,27.7311,0.0000,0.0000,-2.2689
2775.0000,31.0846,0.0000,0.0000,1.0846
2800.0000,27.9341,0.0000,0.0000,-2.0659
2825.0000,31.7566,0.0000,0.0000,1.7566
2850.0000,29.9283,0.0000,0.0000,-0.0717
2875.0000,28.9191,0.0000,0.0000,-1.0809
2900.0000,31.8582,0.0000,0.0000,1.4984
2925.0000,45.6892,0.0000,0.0000,1.0698
2950.0000,78.4232,39.9313,-3.0000,2.4094
2975.0000,72.8117,19.3234,-4.0000,-1.7287
3000.0000,54.1716,0.0000,0.0000,0.4604
3025.0000,183.6774,0.0000,0.0000,-1.0385
3050.0000,438.4676,411.0126,-3.0000,0.0422
3075.0000,293.9924,0.0000,0.0000,0.8735
3100.0000,105.3976,0.0000,0.0000,1.4744
3125.0000,58.1224,0.0000,0.0000,-0.5436
3150.0000,59.1448,25.8546,-5.0000,1.2249
3175.0000,47.8631,0.0000,0.0000,0.0495
3200.0000,33.9304,0.0000,0.0000,-1.2604
3225.0000,30.6606,0.0000,0.0000,-1.6048
3250.0000,42.1260,0.0000,0.0000,-1.9263
3275.0000,85.3849,21.1787,4.0000,-1.5055
