occupancy,fold,time
occ0_2,0,0:00:00.106928
occ0_2,1,0:00:00.013296
occ0_2,2,0:00:00.011521
occ0_2,3,0:00:00.011008
occ0_2,4,0:00:00.011225
occ0_2,5,0:00:00.013103
occ0_2,6,0:00:00.011492
occ0_2,7,0:00:00.011622
occ0_2,8,0:00:00.011493
occ0_2,9,0:00:00.012026
occ0_5,0,0:00:00.014483
occ0_5,1,0:00:00.016644
occ0_5,2,0:00:00.014230
occ0_5,3,0:00:00.011957
occ0_5,4,0:00:00.014269
occ0_5,5,0:00:00.012299
occ0_5,6,0:00:00.012278
occ0_5,7,0:00:00.011931
occ0_5,8,0:00:00.011458
occ0_5,9,0:00:00.011669
occ0_7,0,0:00:00.011528
occ0_7,1,0:00:00.011432
occ0_7,2,0:00:00.010931
occ0_7,3,0:00:00.011530
occ0_7,4,0:00:00.012509
occ0_7,5,0:00:00.012321
occ0_7,6,0:00:00.011579
occ0_7,7,0:00:00.011354
occ0_7,8,0:00:00.011103
occ0_7,9,0:00:00.011098
occ0_9,0,0:00:00.011287
occ0_9,1,0:00:00.011670
occ0_9,2,0:00:00.011253
occ0_9,3,0:00:00.011133
occ0_9,4,0:00:00.011987
occ0_9,5,0:00:00.012030
occ0_9,6,0:00:00.011551
occ0_9,7,0:00:00.011404
occ0_9,8,0:00:00.011369
occ0_9,9,0:00:00.011983
