occupancy,fold,mean,std
occ0_2,0,-4.691015897365845,17.61106915839106
occ0_2,1,-4.967332147554885,16.397626374539485
occ0_2,2,-5.258608591461528,16.514934505686213
occ0_2,3,-4.803023544364256,17.533293814504248
occ0_2,4,-4.6928031338497,18.02124831752143
occ0_2,5,-4.754503252213045,17.6529820795074
occ0_2,6,-4.91676310817508,16.813408860160077
occ0_2,7,-4.967989229222462,17.89135137504654
occ0_2,8,-5.3511670666635345,16.452593664605075
occ0_2,9,-5.0644551679375045,17.10142667750886
occ0_5,0,2.7017889305067357,25.955054227378294
occ0_5,1,2.870571396139984,25.99815233608994
occ0_5,2,2.508686781234246,25.984480382888993
occ0_5,3,3.336408595871658,27.267335116177396
occ0_5,4,3.2152608132383196,26.31366950060943
occ0_5,5,2.9119997892962965,26.471090310800406
occ0_5,6,2.9253828812362475,26.127777300357383
occ0_5,7,2.6108400821547986,25.227202410058204
occ0_5,8,2.678416671641004,26.53007759624098
occ0_5,9,2.8288836177703365,26.095761179642352
occ0_7,0,7.764449715281084,30.07889419970705
occ0_7,1,7.557547884448223,30.266011775830346
occ0_7,2,7.707168863038468,30.193099605361958
occ0_7,3,8.278885270153179,31.21928772385272
occ0_7,4,8.081998277882555,30.889438493986702
occ0_7,5,7.666732045141197,30.591272620286095
occ0_7,6,7.903187159611696,31.07906910577523
occ0_7,7,7.9013251828701,31.368870363575965
occ0_7,8,8.309102030867916,31.378702471427502
occ0_7,9,8.172001059838514,30.513824462380274
occ0_9,0,13.597122565672077,33.767082165137744
occ0_9,1,12.719063582973579,33.17504181451916
occ0_9,2,13.38195910134666,34.65009744295954
occ0_9,3,12.869519020999045,32.87419779513495
occ0_9,4,13.322308224704988,33.614831960710895
occ0_9,5,13.3653445772035,33.80678544987728
occ0_9,6,13.062782368974455,34.26659971833702
occ0_9,7,13.113257995192543,33.98804632431733
occ0_9,8,13.1061983335126,33.76087946554306
occ0_9,9,13.329838288766034,33.886546244628185
