occupancy,fold,time
occ0_2,0,0:05:00.304402
occ0_2,1,0:04:52.498053
occ0_2,2,0:04:10.368235
occ0_2,3,0:04:05.079852
occ0_2,4,0:04:05.646036
occ0_2,5,0:04:05.433326
occ0_2,6,0:04:05.493230
occ0_2,7,0:04:06.689310
occ0_2,8,0:04:39.192736
occ0_2,9,0:04:42.148872
occ0_5,0,0:05:25.613840
occ0_5,1,0:05:00.820096
occ0_5,2,0:05:20.116491
occ0_5,3,0:05:16.205588
occ0_5,4,0:05:01.635438
occ0_5,5,0:04:42.282554
occ0_5,6,0:05:12.726653
occ0_5,7,0:04:55.821443
occ0_5,8,0:04:52.518238
occ0_5,9,0:05:23.024172
occ0_7,0,0:05:03.969933
occ0_7,1,0:04:48.566356
occ0_7,2,0:04:33.942656
occ0_7,3,0:04:34.735685
occ0_7,4,0:04:54.209921
occ0_7,5,0:04:50.283956
occ0_7,6,0:05:11.542291
occ0_7,7,0:05:06.079901
occ0_7,8,0:04:46.855056
occ0_7,9,0:04:46.009728
occ0_9,0,0:04:57.224601
occ0_9,1,0:04:31.923744
occ0_9,2,0:04:52.661555
occ0_9,3,0:05:03.342888
occ0_9,4,0:05:29.130333
occ0_9,5,0:05:10.255956
occ0_9,6,0:05:00.583285
occ0_9,7,0:05:04.842642
occ0_9,8,0:05:01.969575
occ0_9,9,0:05:31.462485
