occupancy,fold,mean,std
occ0_2,0,20.632392678868175,29.639619794470292
occ0_2,1,19.56763268877864,28.092708348425134
occ0_2,2,18.45750757668692,26.899014253969828
occ0_2,3,20.208026486790093,27.84151759388788
occ0_2,4,20.630428716534198,29.90244083157553
occ0_2,5,20.43074795643226,29.542186777708096
occ0_2,6,19.71600696894626,27.669320986737727
occ0_2,7,19.56216017470646,29.696634118049538
occ0_2,8,18.03913700254903,26.87990611741059
occ0_2,9,19.215580619663083,27.450392059078567
occ0_5,0,49.53481173559557,41.725138584760415
occ0_5,1,50.13295471857333,42.95146648225672
occ0_5,2,48.71121298315716,42.00884897321562
occ0_5,3,51.968857044366146,44.309712567755966
occ0_5,4,51.48350827544613,41.77508230601273
occ0_5,5,50.32412005708408,43.196274302364245
occ0_5,6,50.3585203117386,42.42834767854223
occ0_5,7,49.11791905067263,41.589369416566306
occ0_5,8,49.43776237421266,43.36671410755411
occ0_5,9,49.99222097500176,41.86546538422481
occ0_7,0,69.23261844732349,47.368336742114145
occ0_7,1,68.39154611001015,47.852214509982176
occ0_7,2,68.98432070451861,47.07764461921511
occ0_7,3,71.26769642513852,49.29317361510219
occ0_7,4,70.51271072392,48.49717063133818
occ0_7,5,68.79740108298216,49.085058384754156
occ0_7,6,69.76872273017293,48.73273578138205
occ0_7,7,69.77646874225833,48.103955000804184
occ0_7,8,71.44278249767665,49.79967797257621
occ0_7,9,70.83707941586326,48.29718680709168
occ0_9,0,92.00425112016931,51.552226008840094
occ0_9,1,88.55552262815391,50.294399479470655
occ0_9,2,91.18205177569216,52.74351834922835
occ0_9,3,89.18904873909945,51.49476564207959
occ0_9,4,90.93281144084018,51.18124714408453
occ0_9,5,91.05504915420914,51.611050241671535
occ0_9,6,89.88418692002023,51.259976395983706
occ0_9,7,90.08822212021582,52.052654299235925
occ0_9,8,90.0755968342842,51.73658196517382
occ0_9,9,90.98336758906039,51.937184632794995
