occupancy,fold,time
occ0_2,0,0:00:00.027235
occ0_2,1,0:00:00.021377
occ0_2,2,0:00:00.023611
occ0_2,3,0:00:00.022005
occ0_2,4,0:00:00.023886
occ0_2,5,0:00:00.022828
occ0_2,6,0:00:00.023269
occ0_2,7,0:00:00.028831
occ0_2,8,0:00:00.023615
occ0_2,9,0:00:00.020444
occ0_5,0,0:00:00.021681
occ0_5,1,0:00:00.023261
occ0_5,2,0:00:00.021544
occ0_5,3,0:00:00.023405
occ0_5,4,0:00:00.021749
occ0_5,5,0:00:00.028058
occ0_5,6,0:00:00.021541
occ0_5,7,0:00:00.024441
occ0_5,8,0:00:00.024619
occ0_5,9,0:00:00.022256
occ0_7,0,0:00:00.023821
occ0_7,1,0:00:00.022309
occ0_7,2,0:00:00.023205
occ0_7,3,0:00:00.137100
occ0_7,4,0:00:00.026581
occ0_7,5,0:00:00.020454
occ0_7,6,0:00:00.022163
occ0_7,7,0:00:00.021038
occ0_7,8,0:00:00.022710
occ0_7,9,0:00:00.020287
occ0_9,0,0:00:00.021135
occ0_9,1,0:00:00.023943
occ0_9,2,0:00:00.021972
occ0_9,3,0:00:00.025270
occ0_9,4,0:00:00.022241
occ0_9,5,0:00:00.020756
occ0_9,6,0:00:00.022141
occ0_9,7,0:00:00.021061
occ0_9,8,0:00:00.021584
occ0_9,9,0:00:00.020764
